HotelName,StartRating,Value,Location,Sleep Quality,Rooms,Cleanliness,Service,Overall Rating,Continent of Origin,Travel Type
"Mandarin Oriental, Singapore",5.0 ,4 ,4 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Pan Pacific Singapore,4.5 ,4 ,5 ,5 ,5 ,5 ,5 ,4 ,Europe,Couple
Fullerton Hotel Singapore,5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Royal Plaza on Scotts,4.5 ,3 ,5 ,3 ,3 ,5 ,5 ,4 ,Europe,Couple
The Regent Singapore,5.0 ,5 ,5 ,5 ,3 ,4 ,5 ,5 ,Europe,Couple
Moon Hotel,3.5 ,5 ,5 ,5 ,4 ,5 ,4 ,5 ,Europe,Couple
YWCA Fort Canning Lodge,3.0 ,3 ,4 ,3 ,2 ,3 ,3 ,2 ,Europe,Couple
Raffles Hotel Singapore,5.0 ,3 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Conrad Centennial Singapore,5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Business
Conrad Centennial Singapore,5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Business
Fullerton Hotel Singapore,5.0 ,3 ,5 ,5 ,3 ,5 ,4 ,4 ,Europe,Business
Pan Pacific Orchard,4.5 ,4 ,5 ,4 ,4 ,5 ,5 ,5 ,Europe,Business
Pan Pacific Singapore,4.5 ,5 ,4 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Perak Hotel,2.5 ,1 ,3 ,1 ,1 ,3 ,4 ,2 ,Europe,Couple
Le Peranakan Hotel,2.0 ,2 ,2 ,2 ,1 ,2 ,1 ,2 ,Europe,Couple
Goodwood Park Hotel,4.0 ,4 ,5 ,3 ,3 ,3 ,4 ,4 ,Europe,Family
InterContinental Singapore,5.0 ,4 ,5 ,4 ,4 ,4 ,4 ,4 ,Europe,Business
Swissotel Merchant Court,4.0 ,4 ,5 ,5 ,4 ,4 ,4 ,4 ,Europe,Business
Orchard Hotel Singapore,4.0 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Business
Hotel Re!,4.0 ,4 ,3 ,2 ,3 ,3 ,2 ,3 ,Europe,Business
Pan Pacific Singapore,4.5 ,4 ,5 ,4 ,5 ,4 ,3 ,4 ,Europe,Couple
Conrad Centennial Singapore,5.0 ,4 ,4 ,5 ,4 ,5 ,4 ,5 ,Europe,Couple
Conrad Centennial Singapore,5.0 ,4 ,4 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Naumi Hotel,4.5 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Ritz-Carlton Millenia Singapore,5.0 ,4 ,4 ,5 ,5 ,5 ,3 ,5 ,Europe,Couple
InterContinental Singapore,5.0 ,4 ,5 ,4 ,4 ,4 ,4 ,4 ,Europe,Couple
Swissotel The Stamford,4.5 ,4 ,5 ,5 ,5 ,5 ,4 ,5 ,Europe,Couple
Marina Bay Sands,5.0 ,4 ,4 ,4 ,5 ,5 ,5 ,5 ,Europe,Couple
Victoria Hotel,2.0 ,4 ,5 ,5 ,2 ,5 ,3 ,3 ,Europe,Couple
Fragrance Hotel - Emerald,2.0 ,3 ,2 ,1 ,2 ,3 ,2 ,3 ,Europe,Couple
Sheraton Towers Singapore,4.5 ,4 ,4 ,4 ,3 ,5 ,3 ,3 ,Europe,Couple
Cultural Hotel,2.5 ,3 ,3 ,3 ,4 ,4 ,3 ,3 ,Europe,Couple
InterContinental Singapore,5.0 ,4 ,5 ,4 ,4 ,4 ,4 ,4 ,Europe,Family
Crowne Plaza Hotel Changi Airport,4.5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Business
Marina Bay Sands,5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,North America,Couple
Sheraton Towers Singapore,4.5 ,1 ,5 ,2 ,1 ,2 ,2 ,1 ,Europe,Business
Hotel 81 - Orchid,2.0 ,4 ,3 ,3 ,3 ,5 ,5 ,4 ,Europe,Couple
Shangri-La Hotel,5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Couple
Moon Hotel,3.5 ,2 ,4 ,4 ,1 ,4 ,3 ,3 ,Oceania,Couple
Marina Mandarin Singapore,4.5 ,4 ,4 ,5 ,4 ,5 ,4 ,4 ,North America,Business
Marina Bay Sands,5.0 ,4 ,3 ,4 ,4 ,4 ,5 ,4 ,Europe,Business
Shangri-La Hotel,5.0 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Fairmont Singapore,4.5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,North America,Family
Four Seasons Hotel Singapore,5.0 ,4 ,4 ,5 ,5 ,5 ,5 ,5 ,North America,Family
"Mandarin Oriental, Singapore",5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,North America,Business
Royal Plaza on Scotts,4.5 ,3 ,4 ,4 ,4 ,4 ,4 ,4 ,North America,Business
Marina Bay Sands,5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,North America,Couple
Goodwood Park Hotel,4.0 ,5 ,5 ,4 ,4 ,3 ,3 ,4 ,Asia,Couple
York Hotel,4.0 ,2 ,4 ,2 ,2 ,3 ,3 ,3 ,Asia,Couple
Royal Plaza on Scotts,4.5 ,3 ,5 ,5 ,5 ,5 ,5 ,4 ,North America,Business
Landmark Village Hotel,3.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,North America,Business
Quincy Hotel,4.0 ,1 ,3 ,2 ,3 ,4 ,3 ,3 ,Europe,Couple
Marina Bay Sands,5.0 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Asia,Family
"Traders Hotel, Singapore",4.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Business
Victoria Hotel,2.0 ,5 ,5 ,4 ,3 ,5 ,4 ,4 ,Europe,Business
Shangri-La Hotel,5.0 ,5 ,4 ,5 ,5 ,5 ,5 ,5 ,Oceania,Couple
Grand Mercure Roxy Singapore,4.0 ,5 ,3 ,5 ,3 ,4 ,5 ,4 ,Oceania,Couple
Studio M Hotel,4.0 ,2 ,1 ,5 ,5 ,5 ,4 ,4 ,Oceania,Family
Royal Plaza on Scotts,4.5 ,4 ,5 ,5 ,4 ,5 ,5 ,4 ,Oceania,Couple
InterContinental Singapore,5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Couple
River View Hotel Singapore,3.5 ,3 ,3 ,4 ,5 ,5 ,3 ,4 ,Oceania,Couple
Marina Bay Sands,5.0 ,3 ,5 ,5 ,4 ,5 ,4 ,5 ,Oceania,Business
Concorde Hotel Singapore,4.0 ,4 ,5 ,5 ,4 ,5 ,5 ,5 ,Oceania,Couple
Grand Mercure Roxy Singapore,4.0 ,4 ,4 ,4 ,4 ,5 ,5 ,4 ,Oceania,Family
Swissotel The Stamford,4.5 ,3 ,5 ,1 ,4 ,5 ,5 ,3 ,Europe,Business
"Mandarin Oriental, Singapore",5.0 ,5 ,5 ,5 ,4 ,5 ,5 ,5 ,Europe,Couple
Marina Bay Sands,5.0 ,1 ,3 ,2 ,2 ,3 ,1 ,2 ,Europe,Couple
Fullerton Hotel Singapore,5.0 ,2 ,4 ,3 ,1 ,1 ,4 ,2 ,Europe,Business
Crowne Plaza Hotel Changi Airport,4.5 ,4 ,5 ,4 ,4 ,4 ,5 ,5 ,Europe,Business
Crowne Plaza Hotel Changi Airport,4.5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Business
Hilton Singapore,4.5 ,4 ,4 ,4 ,4 ,5 ,4 ,4 ,Europe,Business
Park Hotel Clarke Quay,4.0 ,4 ,5 ,5 ,5 ,5 ,4 ,5 ,Europe,Business
Swissotel The Stamford,4.5 ,4 ,5 ,5 ,4 ,4 ,5 ,5 ,Europe,Business
Marina Bay Sands,5.0 ,3 ,5 ,5 ,4 ,5 ,5 ,4 ,Europe,Business
Hotel 81 - Bencoolen,2.0 ,2 ,3 ,3 ,2 ,2 ,2 ,2 ,Europe,Business
Shangri-La Hotel,5.0 ,4 ,5 ,4 ,3 ,5 ,5 ,4 ,Europe,Couple
Naumi Hotel,4.5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Marina Bay Sands,5.0 ,4 ,5 ,3 ,4 ,4 ,4 ,3 ,Europe,Couple
Value Hotel Thomson,3.0 ,4 ,5 ,5 ,4 ,4 ,4 ,4 ,Europe,Couple
Sheraton Towers Singapore,4.5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Link Hotel,4.0 ,1 ,1 ,3 ,2 ,1 ,2 ,2 ,Europe,Couple
Conrad Centennial Singapore,5.0 ,5 ,4 ,5 ,4 ,5 ,5 ,5 ,Europe,Business
Naumi Hotel,4.5 ,4 ,5 ,5 ,4 ,5 ,5 ,5 ,North America,Business
Orchard Hotel Singapore,4.0 ,1 ,4 ,3 ,3 ,3 ,2 ,3 ,Asia,Business
PARKROYAL on Kitchener Road,4.0 ,4 ,2 ,4 ,4 ,4 ,5 ,4 ,Asia,Business
Value Hotel Thomson,3.0 ,4 ,4 ,4 ,3 ,5 ,3 ,3 ,Asia,Couple
Conrad Centennial Singapore,5.0 ,4 ,4 ,5 ,4 ,4 ,5 ,5 ,Europe,Couple
Marina Bay Sands,5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
InterContinental Singapore,5.0 ,3 ,5 ,5 ,5 ,5 ,4 ,4 ,Europe,Business
Grand Copthorne Waterfront Hotel,4.0 ,4 ,4 ,4 ,4 ,4 ,5 ,4 ,Europe,Business
Orchard Hotel Singapore,4.0 ,2 ,3 ,4 ,2 ,4 ,1 ,2 ,Europe,Business
Gallery Hotel,3.0 ,4 ,4 ,4 ,5 ,5 ,5 ,4 ,Europe,Business
InterContinental Singapore,5.0 ,2 ,4 ,1 ,3 ,1 ,4 ,3 ,Europe,Couple
Crowne Plaza Hotel Changi Airport,4.5 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Rendezvous Hotel Singapore,4.0 ,3 ,5 ,4 ,4 ,5 ,5 ,4 ,Europe,Couple
Moon Hotel,3.5 ,2 ,5 ,5 ,2 ,5 ,3 ,3 ,Europe,Couple
Moon Hotel,3.5 ,3 ,5 ,2 ,2 ,4 ,2 ,2 ,Europe,Couple
Pan Pacific Singapore,4.5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Family
Aqueen Hotel Lavender,,4 ,4 ,4 ,4 ,4 ,3 ,4 ,Europe,Family
Furama RiverFront,4.0 ,4 ,5 ,5 ,4 ,5 ,5 ,5 ,Europe,Business
The Scarlet Hotel,4.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Novotel Singapore Clarke Quay,4.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Value Hotel Thomson,3.0 ,5 ,4 ,5 ,3 ,5 ,5 ,4 ,Europe,Couple
"Traders Hotel, Singapore",4.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Peninsula Excelsior Hotel,3.5 ,4 ,5 ,5 ,4 ,4 ,4 ,4 ,Oceania,Family
"Mandarin Oriental, Singapore",5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Business
"Mandarin Oriental, Singapore",5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Conrad Centennial Singapore,5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Fairmont Singapore,4.5 ,5 ,5 ,4 ,3 ,4 ,4 ,4 ,Europe,Couple
Fairmont Singapore,4.5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
InterContinental Singapore,5.0 ,3 ,4 ,4 ,3 ,4 ,4 ,4 ,Europe,Couple
The Regent Singapore,5.0 ,5 ,3 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Swissotel Merchant Court,4.0 ,4 ,5 ,4 ,4 ,5 ,5 ,5 ,Europe,Couple
Marina Mandarin Singapore,4.5 ,1 ,5 ,3 ,2 ,3 ,3 ,3 ,Europe,Couple
Holiday Inn Atrium Singapore,4.0 ,5 ,3 ,4 ,4 ,3 ,3 ,3 ,Europe,Couple
PARKROYAL on Kitchener Road,4.0 ,3 ,3 ,1 ,3 ,3 ,3 ,4 ,Europe,Couple
Furama City Centre,4.0 ,4 ,5 ,4 ,3 ,5 ,3 ,4 ,Europe,Couple
Value Hotel Thomson,3.0 ,5 ,3 ,5 ,4 ,5 ,5 ,4 ,Europe,Couple
Albert Court Village Hotel,3.5 ,3 ,4 ,2 ,3 ,3 ,2 ,2 ,Europe,Couple
Park Hotel Clarke Quay,4.0 ,5 ,5 ,3 ,3 ,5 ,5 ,4 ,Europe,Family
Hotel Miramar,3.5 ,4 ,4 ,5 ,4 ,5 ,5 ,5 ,Europe,Family
Shangri-La Hotel,5.0 ,5 ,4 ,4 ,5 ,5 ,5 ,5 ,Europe,Couple
Hotel Miramar,3.5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
YWCA Fort Canning Lodge,3.0 ,2 ,3 ,1 ,1 ,2 ,2 ,2 ,Europe,Couple
Somerset Liang Court,4.0 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Business
The Regent Singapore,5.0 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Business
"Mandarin Oriental, Singapore",5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
"Mandarin Oriental, Singapore",5.0 ,4 ,4 ,5 ,4 ,5 ,5 ,5 ,Europe,Couple
Pan Pacific Singapore,4.5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Pan Pacific Singapore,4.5 ,4 ,5 ,4 ,5 ,5 ,5 ,5 ,Europe,Couple
Shangri-La Hotel,5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Shangri-La Hotel,5.0 ,4 ,4 ,4 ,4 ,4 ,3 ,4 ,Europe,Couple
Raffles Hotel Singapore,5.0 ,3 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Fairmont Singapore,4.5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Crowne Plaza Hotel Changi Airport,4.5 ,5 ,5 ,4 ,4 ,5 ,4 ,4 ,Europe,Couple
PARKROYAL on Beach Road,4.0 ,4 ,4 ,5 ,4 ,4 ,3 ,4 ,Europe,Couple
New Majestic Hotel,4.0 ,5 ,5 ,4 ,5 ,5 ,5 ,5 ,Europe,Couple
Fairmont Singapore,4.5 ,5 ,5 ,5 ,4 ,5 ,5 ,5 ,Europe,Family
InterContinental Singapore,5.0 ,5 ,5 ,4 ,4 ,5 ,5 ,5 ,Europe,Family
Fullerton Hotel Singapore,5.0 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,Europe,Family
The Regent Singapore,5.0 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Family
Marina Bay Sands,5.0 ,4 ,3 ,5 ,4 ,5 ,4 ,4 ,Oceania,Business
Orchard Hotel Singapore,4.0 ,4 ,5 ,4 ,4 ,4 ,4 ,4 ,Oceania,Business
Hilton Singapore,4.5 ,3 ,5 ,4 ,4 ,5 ,5 ,4 ,Oceania,Family
Orchard Hotel Singapore,4.0 ,4 ,5 ,4 ,4 ,4 ,4 ,4 ,Oceania,Family
Rendezvous Hotel Singapore,4.0 ,4 ,4 ,4 ,4 ,5 ,4 ,4 ,Europe,Couple
Hotel Royal Singapore,3.5 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,Europe,Couple
Pan Pacific Orchard,4.5 ,5 ,4 ,4 ,5 ,5 ,5 ,5 ,Oceania,Business
"Mandarin Oriental, Singapore",5.0 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Couple
Conrad Centennial Singapore,5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Couple
Fairmont Singapore,4.5 ,5 ,5 ,5 ,4 ,5 ,5 ,5 ,Oceania,Couple
Park Hotel Clarke Quay,4.0 ,5 ,5 ,4 ,3 ,5 ,5 ,4 ,Oceania,Couple
Marina Mandarin Singapore,4.5 ,5 ,5 ,4 ,5 ,5 ,5 ,5 ,Oceania,Couple
"Traders Hotel, Singapore",4.0 ,3 ,4 ,5 ,3 ,3 ,1 ,2 ,Oceania,Couple
Hotel Royal at Queens,4.0 ,2 ,4 ,3 ,3 ,4 ,2 ,3 ,Oceania,Family
Fairmont Singapore,4.5 ,4 ,4 ,4 ,3 ,4 ,4 ,4 ,Oceania,Business
Royal Plaza on Scotts,4.5 ,4 ,5 ,5 ,3 ,5 ,4 ,4 ,Oceania,Couple
Swissotel Merchant Court,4.0 ,4 ,5 ,5 ,4 ,5 ,5 ,5 ,Oceania,Couple
Marina Bay Sands,5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Couple
"Mandarin Oriental, Singapore",5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Couple
Conrad Centennial Singapore,5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Couple
Ibis Singapore on Bencoolen,3.0 ,5 ,5 ,4 ,4 ,5 ,5 ,4 ,Oceania,Couple
Rendezvous Hotel Singapore,4.0 ,5 ,5 ,4 ,4 ,4 ,5 ,4 ,Oceania,Couple
Marina Bay Sands,5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Couple
Park Hotel Clarke Quay,4.0 ,4 ,3 ,4 ,4 ,4 ,4 ,4 ,Europe,Couple
Pan Pacific Singapore,4.5 ,4 ,5 ,5 ,4 ,5 ,5 ,5 ,Oceania,Family
Hilton Singapore,4.5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Couple
Marina Bay Sands,5.0 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Couple
Furama RiverFront,4.0 ,4 ,5 ,3 ,3 ,4 ,5 ,4 ,Europe,Business
PARKROYAL on Kitchener Road,4.0 ,5 ,4 ,4 ,4 ,4 ,4 ,4 ,Europe,Couple
Shangri-La Hotel,5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Holiday Inn Atrium Singapore,4.0 ,5 ,4 ,4 ,4 ,4 ,4 ,4 ,Europe,Business
Orchard Parade - A Far East Hotel,3.5 ,2 ,4 ,1 ,2 ,2 ,4 ,2 ,Europe,Business
"Traders Hotel, Singapore",4.0 ,3 ,4 ,4 ,3 ,3 ,4 ,4 ,Europe,Couple
Marina Mandarin Singapore,4.5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Family
Orchard Hotel Singapore,4.0 ,4 ,5 ,4 ,4 ,5 ,4 ,4 ,Europe,Business
Orchard Hotel Singapore,4.0 ,4 ,5 ,4 ,3 ,5 ,5 ,4 ,Europe,Business
Copthorne Orchid Hotel Singapore,3.5 ,4 ,4 ,4 ,4 ,5 ,4 ,4 ,Europe,Business
Mandarin Orchard Singapore,4.5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,North America,Business
Raffles Hotel Singapore,5.0 ,2 ,5 ,5 ,5 ,5 ,5 ,5 ,North America,Business
PARKROYAL on Kitchener Road,4.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Business
Novotel Singapore Clarke Quay,4.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Couple
Orchard Parade - A Far East Hotel,3.5 ,3 ,4 ,3 ,2 ,2 ,2 ,3 ,Europe,Business
Novotel Singapore Clarke Quay,4.0 ,3 ,5 ,3 ,3 ,5 ,4 ,3 ,Europe,Business
Park Hotel Clarke Quay,4.0 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Swissotel The Stamford,4.5 ,2 ,5 ,5 ,3 ,4 ,3 ,3 ,Europe,Couple
Swissotel Merchant Court,4.0 ,2 ,5 ,3 ,3 ,4 ,4 ,3 ,Asia,Business
Marina Bay Sands,5.0 ,1 ,5 ,5 ,5 ,5 ,1 ,2 ,Asia,Couple
Hotel Re!,4.0 ,5 ,4 ,4 ,4 ,5 ,5 ,5 ,Asia,Couple
Pan Pacific Singapore,4.5 ,5 ,4 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
PARKROYAL on Kitchener Road,4.0 ,3 ,3 ,4 ,3 ,4 ,3 ,3 ,Europe,Couple
Raffles Hotel Singapore,5.0 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Raffles Hotel Singapore,5.0 ,3 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Family
Raffles Hotel Singapore,5.0 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Family
Marina Bay Sands,5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Asia,Business
Novotel Singapore Clarke Quay,4.0 ,4 ,5 ,5 ,4 ,5 ,5 ,5 ,Oceania,Business
Conrad Centennial Singapore,5.0 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Asia,Business
Swissotel The Stamford,4.5 ,4 ,5 ,4 ,3 ,4 ,3 ,4 ,Asia,Business
Holiday Inn Atrium Singapore,4.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Asia,Business
Carlton Hotel Singapore,4.0 ,3 ,5 ,3 ,3 ,3 ,3 ,3 ,Asia,Business
Mandarin Orchard Singapore,4.5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Asia,Business
Pan Pacific Singapore,4.5 ,5 ,5 ,2 ,5 ,5 ,4 ,5 ,Asia,Family
Holiday Inn Atrium Singapore,4.0 ,5 ,5 ,5 ,4 ,5 ,3 ,4 ,Asia,Family
Landmark Village Hotel,3.0 ,3 ,4 ,4 ,3 ,4 ,4 ,3 ,Asia,Family
Park Hotel Clarke Quay,4.0 ,3 ,4 ,3 ,3 ,4 ,1 ,3 ,Asia,Business
Grand Copthorne Waterfront Hotel,4.0 ,3 ,5 ,4 ,5 ,5 ,3 ,4 ,Asia,Business
PARKROYAL on Kitchener Road,4.0 ,3 ,5 ,4 ,4 ,5 ,4 ,4 ,Asia,Business
"Mandarin Oriental, Singapore",5.0 ,4 ,4 ,4 ,4 ,5 ,4 ,4 ,Asia,Couple
Swissotel Merchant Court,4.0 ,4 ,5 ,4 ,3 ,4 ,4 ,4 ,Asia,Couple
Holiday Inn Atrium Singapore,4.0 ,4 ,5 ,4 ,4 ,5 ,5 ,4 ,Asia,Couple
Carlton Hotel Singapore,4.0 ,5 ,4 ,4 ,4 ,5 ,5 ,5 ,Asia,Couple
Holiday Inn Atrium Singapore,4.0 ,4 ,5 ,4 ,4 ,5 ,5 ,4 ,Asia,Family
City Bayview Singapore,3.0 ,5 ,5 ,5 ,4 ,5 ,4 ,4 ,Asia,Family
Copthorne Orchid Hotel Singapore,3.5 ,4 ,4 ,4 ,5 ,5 ,4 ,4 ,Asia,Family
Four Seasons Hotel Singapore,5.0 ,5 ,5 ,4 ,5 ,4 ,5 ,5 ,North America,Couple
Furama RiverFront,4.0 ,5 ,4 ,5 ,4 ,4 ,4 ,4 ,North America,Business
PARKROYAL on Kitchener Road,4.0 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,North America,Family
The Scarlet Hotel,4.0 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,North America,Business
Fairmont Singapore,4.5 ,5 ,5 ,5 ,4 ,5 ,4 ,4 ,North America,Business
"Mandarin Oriental, Singapore",5.0 ,4 ,4 ,5 ,4 ,5 ,5 ,4 ,Europe,Couple
"Mandarin Oriental, Singapore",5.0 ,4 ,4 ,5 ,4 ,5 ,5 ,4 ,Europe,Family
Mandarin Orchard Singapore,4.5 ,3 ,5 ,5 ,5 ,5 ,5 ,4 ,Europe,Business
"Mandarin Oriental, Singapore",5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Ritz-Carlton Millenia Singapore,5.0 ,4 ,4 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Naumi Hotel,4.5 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Family
"Mandarin Oriental, Singapore",5.0 ,3 ,4 ,5 ,5 ,5 ,5 ,4 ,Europe,Business
Pan Pacific Singapore,4.5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Business
Park Hotel Clarke Quay,4.0 ,5 ,5 ,3 ,3 ,5 ,2 ,3 ,Europe,Business
Pan Pacific Orchard,4.5 ,4 ,4 ,4 ,4 ,5 ,4 ,4 ,Europe,Business
Mandarin Orchard Singapore,4.5 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Business
Pan Pacific Singapore,4.5 ,4 ,5 ,5 ,5 ,5 ,4 ,5 ,Europe,Couple
Raffles Hotel Singapore,5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Grand Hyatt Singapore,5.0 ,4 ,4 ,5 ,5 ,5 ,5 ,4 ,Europe,Couple
Royal Plaza on Scotts,4.5 ,5 ,5 ,4 ,4 ,4 ,4 ,5 ,Europe,Family
Park Hotel Clarke Quay,4.0 ,2 ,4 ,3 ,3 ,4 ,3 ,3 ,Europe,Family
Wangz Hotel,4.0 ,4 ,4 ,5 ,4 ,5 ,5 ,5 ,Europe,Business
M Hotel Singapore,4.0 ,3 ,4 ,3 ,3 ,2 ,1 ,2 ,Europe,Business
Orchard Parade - A Far East Hotel,3.5 ,4 ,4 ,2 ,3 ,3 ,4 ,3 ,Europe,Business
Hotel Royal Singapore,3.5 ,2 ,2 ,1 ,1 ,3 ,3 ,2 ,Europe,Business
Naumi Hotel,4.5 ,3 ,4 ,4 ,3 ,4 ,4 ,4 ,Europe,Couple
Marina Bay Sands,5.0 ,4 ,3 ,4 ,4 ,4 ,4 ,4 ,Europe,Couple
PARKROYAL on Beach Road,4.0 ,2 ,4 ,3 ,2 ,3 ,3 ,3 ,Europe,Family
Pan Pacific Orchard,4.5 ,4 ,5 ,4 ,4 ,4 ,4 ,4 ,Europe,Family
Grand Copthorne Waterfront Hotel,4.0 ,3 ,4 ,4 ,4 ,4 ,2 ,3 ,Europe,Family
Grand Hyatt Singapore,5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Family
Hotel Miramar,3.5 ,4 ,4 ,5 ,4 ,5 ,5 ,4 ,Oceania,Couple
River View Hotel Singapore,3.5 ,3 ,2 ,4 ,4 ,5 ,4 ,4 ,Oceania,Couple
Swissotel Merchant Court,4.0 ,4 ,5 ,4 ,4 ,5 ,5 ,4 ,Oceania,Family
Shangri-La Hotel,5.0 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Business
Pan Pacific Singapore,4.5 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Fullerton Hotel Singapore,5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Swissotel Merchant Court,4.0 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Swissotel Merchant Court,4.0 ,3 ,4 ,4 ,3 ,4 ,4 ,3 ,Europe,Couple
Hotel Miramar,3.5 ,4 ,4 ,4 ,4 ,5 ,4 ,3 ,Europe,Couple
Orchard Hotel Singapore,4.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Hotel Royal at Queens,4.0 ,4 ,5 ,4 ,4 ,4 ,4 ,5 ,Europe,Couple
"Mandarin Oriental, Singapore",5.0 ,1 ,4 ,3 ,1 ,3 ,5 ,3 ,Europe,Family
