HotelName,StartRating,Value,Location,Sleep Quality,Rooms,Cleanliness,Service,Overall Rating,Continent of Origin,Travel Type
Naumi Hotel,4.5 ,5 ,4 ,5 ,5 ,5 ,5 ,5 ,Oceania,Family
InterContinental Singapore,5.0 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Family
Fullerton Hotel Singapore,5.0 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Family
Holiday Inn Singapore Orchard City Centre,4.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Family
Pan Pacific Orchard,4.5 ,3 ,4 ,4 ,4 ,4 ,2 ,3 ,Oceania,Family
Rendezvous Hotel Singapore,4.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Family
Marina Bay Sands,5.0 ,4 ,4 ,4 ,4 ,4 ,5 ,4 ,Oceania,Family
Furama RiverFront,4.0 ,3 ,3 ,3 ,3 ,3 ,3 ,4 ,Oceania,Family
Peninsula Excelsior Hotel,3.5 ,3 ,3 ,2 ,2 ,3 ,1 ,1 ,Oceania,Family
Peninsula Excelsior Hotel,3.5 ,4 ,4 ,3 ,5 ,5 ,1 ,3 ,Oceania,Family
Holiday Inn Singapore Orchard City Centre,4.0 ,1 ,5 ,3 ,4 ,4 ,4 ,3 ,Oceania,Business
Swissotel The Stamford,4.5 ,4 ,5 ,4 ,4 ,5 ,4 ,4 ,Oceania,Business
Holiday Inn Singapore Orchard City Centre,4.0 ,1 ,5 ,3 ,4 ,4 ,4 ,3 ,Oceania,Couple
Grand Park City Hall,5.0 ,4 ,5 ,4 ,4 ,5 ,5 ,5 ,Oceania,Couple
Hotel Miramar,3.5 ,5 ,4 ,5 ,4 ,5 ,4 ,5 ,Oceania,Couple
Royal Plaza on Scotts,4.5 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Business
M Hotel Singapore,4.0 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Business
Value Hotel Thomson,3.0 ,4 ,2 ,3 ,3 ,4 ,3 ,3 ,Oceania,Business
Studio M Hotel,4.0 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,Oceania,Business
The Saff,3.5 ,3 ,5 ,2 ,5 ,5 ,5 ,3 ,Oceania,Business
Pan Pacific Singapore,4.5 ,3 ,4 ,4 ,3 ,4 ,3 ,3 ,Oceania,Couple
Naumi Hotel,4.5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Couple
Naumi Hotel,4.5 ,4 ,5 ,5 ,5 ,5 ,4 ,4 ,Oceania,Couple
Naumi Hotel,4.5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Couple
Fairmont Singapore,4.5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Couple
InterContinental Singapore,5.0 ,5 ,4 ,5 ,5 ,5 ,5 ,5 ,Oceania,Couple
The St. Regis Singapore,5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Couple
The St. Regis Singapore,5.0 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Couple
Quincy Hotel,4.0 ,5 ,5 ,5 ,4 ,5 ,5 ,5 ,Oceania,Couple
Quincy Hotel,4.0 ,4 ,5 ,4 ,4 ,4 ,4 ,4 ,Oceania,Couple
Royal Plaza on Scotts,4.5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Couple
Crowne Plaza Hotel Changi Airport,4.5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Couple
Park Hotel Clarke Quay,4.0 ,4 ,4 ,5 ,4 ,5 ,4 ,4 ,Oceania,Couple
Park Hotel Clarke Quay,4.0 ,5 ,4 ,4 ,4 ,5 ,4 ,4 ,Oceania,Couple
Swissotel The Stamford,4.5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Couple
Swissotel The Stamford,4.5 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,Oceania,Couple
Swissotel Merchant Court,4.0 ,4 ,5 ,3 ,4 ,5 ,4 ,4 ,Oceania,Couple
Swissotel Merchant Court,4.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Couple
Ibis Singapore on Bencoolen,3.0 ,5 ,5 ,5 ,4 ,5 ,5 ,4 ,Oceania,Couple
Ibis Singapore on Bencoolen,3.0 ,4 ,4 ,4 ,3 ,5 ,3 ,3 ,Oceania,Couple
New Majestic Hotel,4.0 ,3 ,4 ,2 ,3 ,5 ,4 ,3 ,Oceania,Couple
Ambassador Transit Hotel Terminal 3,,3 ,5 ,4 ,4 ,5 ,4 ,4 ,Oceania,Couple
Grand Park Orchard,5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Couple
Grand Park Orchard,5.0 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Couple
The Scarlet Hotel,4.0 ,4 ,5 ,4 ,4 ,4 ,4 ,4 ,Oceania,Couple
Grand Park City Hall,5.0 ,5 ,5 ,5 ,4 ,5 ,5 ,5 ,Oceania,Couple
Marina Bay Sands,5.0 ,4 ,5 ,5 ,5 ,5 ,5 ,4 ,Oceania,Couple
Marina Bay Sands,5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Couple
Grand Copthorne Waterfront Hotel,4.0 ,4 ,3 ,4 ,4 ,4 ,5 ,5 ,Oceania,Couple
Furama RiverFront,4.0 ,5 ,4 ,5 ,5 ,5 ,5 ,5 ,Oceania,Couple
Furama RiverFront,4.0 ,4 ,4 ,4 ,4 ,5 ,5 ,4 ,Oceania,Couple
Orchard Hotel Singapore,4.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Couple
Value Hotel Thomson,3.0 ,4 ,2 ,3 ,3 ,4 ,3 ,3 ,Oceania,Couple
Victoria Hotel,2.0 ,5 ,5 ,4 ,3 ,4 ,4 ,4 ,Oceania,Couple
Studio M Hotel,4.0 ,1 ,3 ,3 ,1 ,5 ,4 ,2 ,Oceania,Couple
The Saff,3.5 ,3 ,5 ,2 ,5 ,5 ,5 ,3 ,Oceania,Couple
Pan Pacific Singapore,4.5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Family
Pan Pacific Singapore,4.5 ,4 ,5 ,4 ,4 ,5 ,5 ,4 ,Oceania,Family
Pan Pacific Singapore,4.5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Family
Shangri-La Hotel,5.0 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Family
Ritz-Carlton Millenia Singapore,5.0 ,4 ,5 ,5 ,4 ,5 ,4 ,4 ,Oceania,Family
Fairmont Singapore,4.5 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Family
Royal Plaza on Scotts,4.5 ,4 ,5 ,5 ,4 ,5 ,5 ,4 ,Oceania,Family
Park Hotel Clarke Quay,4.0 ,4 ,4 ,4 ,4 ,4 ,5 ,5 ,Oceania,Family
Ibis Singapore on Bencoolen,3.0 ,4 ,4 ,4 ,4 ,4 ,3 ,4 ,Oceania,Family
"Traders Hotel, Singapore",4.0 ,4 ,3 ,3 ,5 ,5 ,5 ,4 ,Oceania,Family
Novotel Singapore Clarke Quay,4.0 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Family
Grand Copthorne Waterfront Hotel,4.0 ,1 ,4 ,1 ,1 ,3 ,1 ,2 ,Oceania,Family
Mandarin Orchard Singapore,4.5 ,1 ,3 ,3 ,2 ,2 ,2 ,2 ,Oceania,Family
Furama City Centre,4.0 ,1 ,1 ,4 ,1 ,3 ,1 ,2 ,Oceania,Family
Hotel Royal Singapore,3.5 ,3 ,4 ,3 ,2 ,2 ,3 ,3 ,Oceania,Family
Hotel 81 - Bencoolen,2.0 ,2 ,5 ,1 ,2 ,2 ,2 ,1 ,Oceania,Family
Claremont Hotel Singapore,2.0 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,Oceania,Family
"Mandarin Oriental, Singapore",5.0 ,4 ,5 ,5 ,4 ,5 ,5 ,5 ,Oceania,Family
Marina Bay Sands,5.0 ,2 ,2 ,3 ,2 ,3 ,2 ,3 ,Oceania,Couple
Fullerton Hotel Singapore,5.0 ,4 ,4 ,4 ,5 ,5 ,5 ,5 ,Oceania,Couple
New Majestic Hotel,4.0 ,4 ,4 ,5 ,5 ,5 ,5 ,5 ,North America,Couple
Furama RiverFront,4.0 ,4 ,4 ,4 ,3 ,5 ,5 ,4 ,Oceania,Couple
Grand Park City Hall,5.0 ,1 ,3 ,2 ,2 ,3 ,1 ,2 ,Asia,Business
Park Hotel Clarke Quay,4.0 ,3 ,5 ,4 ,4 ,5 ,2 ,4 ,Asia,Couple
Mandarin Orchard Singapore,4.5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Asia,Family
Fairmont Singapore,4.5 ,5 ,4 ,5 ,5 ,5 ,5 ,5 ,Asia,Business
Holiday Inn Atrium Singapore,4.0 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Asia,Business
Hotel Grand Chancellor Singapore,3.0 ,5 ,3 ,4 ,3 ,5 ,2 ,4 ,Asia,Couple
Holiday Inn Atrium Singapore,4.0 ,3 ,4 ,4 ,5 ,5 ,5 ,5 ,Asia,Family
Pan Pacific Singapore,4.5 ,4 ,5 ,4 ,5 ,5 ,4 ,4 ,Asia,Business
Hilton Singapore,4.5 ,3 ,5 ,4 ,5 ,5 ,5 ,5 ,Asia,Business
Furama City Centre,4.0 ,3 ,3 ,4 ,4 ,4 ,3 ,3 ,Asia,Business
Landmark Village Hotel,3.0 ,2 ,3 ,3 ,3 ,3 ,2 ,3 ,Asia,Business
Hotel Grand Chancellor Singapore,3.0 ,3 ,4 ,3 ,3 ,3 ,2 ,3 ,Asia,Business
Claremont Hotel Singapore,2.0 ,4 ,5 ,3 ,2 ,3 ,2 ,3 ,Asia,Business
Pan Pacific Singapore,4.5 ,5 ,5 ,4 ,5 ,5 ,5 ,4 ,Asia,Couple
Marina Bay Sands,5.0 ,4 ,5 ,5 ,5 ,5 ,4 ,5 ,Asia,Couple
Furama City Centre,4.0 ,3 ,3 ,4 ,4 ,4 ,3 ,3 ,Asia,Couple
Albert Court Village Hotel,3.5 ,3 ,3 ,4 ,3 ,4 ,2 ,3 ,Asia,Couple
Landmark Village Hotel,3.0 ,2 ,3 ,3 ,3 ,3 ,2 ,3 ,Asia,Couple
Copthorne Orchid Hotel Singapore,3.5 ,2 ,2 ,4 ,4 ,4 ,1 ,3 ,Asia,Couple
Albert Court Village Hotel,3.5 ,3 ,3 ,3 ,4 ,4 ,2 ,3 ,Asia,Family
Mandarin Orchard Singapore,4.5 ,3 ,5 ,3 ,5 ,4 ,4 ,4 ,Europe,Business
Royal Plaza on Scotts,4.5 ,4 ,5 ,5 ,4 ,5 ,5 ,5 ,Oceania,Business
Orchard Hotel Singapore,4.0 ,3 ,4 ,4 ,4 ,4 ,4 ,4 ,Asia,Business
Marina Bay Sands,5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,North America,Family
Pan Pacific Singapore,4.5 ,4 ,5 ,5 ,5 ,5 ,5 ,4 ,North America,Business
Orchard Parade - A Far East Hotel,3.5 ,4 ,5 ,5 ,4 ,5 ,5 ,5 ,North America,Business
Grand Park City Hall,5.0 ,3 ,4 ,5 ,5 ,5 ,5 ,4 ,North America,Family
Concorde Hotel Singapore,4.0 ,3 ,5 ,5 ,5 ,5 ,5 ,4 ,North America,Family
Somerset Liang Court,4.0 ,4 ,4 ,5 ,5 ,5 ,5 ,5 ,North America,Family
Grand Hyatt Singapore,5.0 ,3 ,3 ,4 ,4 ,5 ,4 ,3 ,North America,Business
Crowne Plaza Hotel Changi Airport,4.5 ,2 ,5 ,3 ,4 ,3 ,4 ,3 ,North America,Business
"Traders Hotel, Singapore",4.0 ,4 ,3 ,5 ,4 ,5 ,5 ,4 ,Europe,Couple
Crowne Plaza Hotel Changi Airport,4.5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,North America,Business
Park Hotel Clarke Quay,4.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,North America,Business
River View Hotel Singapore,3.5 ,1 ,3 ,1 ,1 ,1 ,1 ,1 ,North America,Couple
The St. Regis Singapore,5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Couple
York Hotel,4.0 ,5 ,5 ,5 ,5 ,5 ,3 ,3 ,Europe,Family
PARKROYAL on Beach Road,4.0 ,1 ,4 ,1 ,1 ,1 ,2 ,1 ,Oceania,Family
Grand Copthorne Waterfront Hotel,4.0 ,4 ,4 ,4,4 ,4 ,4 ,4 ,Asia,Couple
Marina Bay Sands,5.0 ,4 ,5 ,4 ,4 ,4 ,4 ,4 ,Europe,Couple
Grand Pacific Hotel,3.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Oceania,Couple
Hotel Supreme,3.0 ,2 ,5 ,3 ,3 ,5 ,2 ,3 ,Europe,Family
"Traders Hotel, Singapore",4.0 ,3 ,4 ,4 ,4 ,4 ,3 ,3 ,Europe,Couple
Four Seasons Hotel Singapore,5.0 ,2 ,5 ,3 ,3 ,5 ,2 ,4 ,North America,Family
Raffles Hotel Singapore,5.0 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Hotel Miramar,3.5 ,4 ,3 ,5 ,4 ,5 ,5 ,4 ,Europe,Couple
Ritz-Carlton Millenia Singapore,5.0 ,4 ,4 ,5 ,5 ,5 ,5 ,4 ,Asia,Family
Goodwood Park Hotel,4.0 ,3 ,3 ,4 ,4 ,4 ,4 ,4 ,Asia,Family
"Mandarin Oriental, Singapore",5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Business
Shangri-La Hotel,5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Business
Conrad Centennial Singapore,5.0 ,5 ,5 ,5 ,4 ,5 ,5 ,5 ,Europe,Business
The Scarlet Hotel,4.0 ,4 ,3 ,4 ,4 ,4 ,5 ,4 ,Europe,Business
Shangri-La Hotel,5.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Hilton Singapore,4.5 ,5 ,5 ,4 ,4 ,5 ,5 ,5 ,Europe,Couple
Wangz Hotel,4.0 ,5 ,4 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
Goodwood Park Hotel,4.0 ,2 ,4 ,3 ,2 ,4 ,1 ,2 ,Europe,Couple
Aqueen Hotel Lavender,,4 ,3 ,3 ,4 ,4 ,4 ,4 ,Europe,Couple
Furama RiverFront,4.0 ,2 ,4 ,2 ,2 ,3 ,3 ,3 ,Europe,Couple
Marina Bay Sands,5.0 ,4 ,3 ,4 ,4 ,4 ,5 ,4 ,Europe,Business
Marina Bay Sands,5.0 ,1 ,2 ,4 ,3 ,4 ,2 ,2 ,Europe,Couple
Moon Hotel,3.5 ,3 ,3 ,5 ,4 ,4 ,4 ,4 ,Europe,Couple
Ritz-Carlton Millenia Singapore,5.0 ,4 ,4 ,5 ,5 ,5 ,5 ,5 ,Europe,Business
Fairmont Singapore,4.5 ,5 ,5 ,5 ,4 ,5 ,5 ,5 ,Europe,Business
Fairmont Singapore,4.5 ,5 ,5 ,4 ,4 ,4 ,4 ,4 ,Europe,Business
InterContinental Singapore,5.0 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,Europe,Business
The St. Regis Singapore,5.0 ,4 ,3 ,5 ,5 ,5 ,5 ,4 ,Europe,Business
Somerset Liang Court,4.0 ,3 ,5 ,4 ,4 ,5 ,5 ,5 ,Europe,Business
Marina Bay Sands,5.0 ,3 ,5 ,5 ,4 ,4 ,5 ,4 ,Europe,Business
Hotel 1929,3.0 ,5 ,4 ,5 ,4 ,5 ,5 ,5 ,Europe,Business
Sheraton Towers Singapore,4.5 ,4 ,2 ,3 ,2 ,4 ,4 ,3 ,Europe,Business
Gallery Hotel,3.0 ,3 ,3 ,4 ,3 ,4 ,4 ,4 ,Europe,Business
InterContinental Singapore,5.0 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,Europe,Couple
InterContinental Singapore,5.0 ,3 ,4 ,4 ,4 ,4 ,3 ,3 ,Europe,Couple
Royal Plaza on Scotts,4.5 ,2 ,4 ,3 ,2 ,3 ,2 ,3 ,Europe,Couple
Marina Bay Sands,5.0 ,2 ,5 ,1 ,4 ,2 ,1 ,1 ,Europe,Couple
Royal Plaza on Scotts,4.5 ,4 ,5 ,5 ,4 ,4 ,5 ,5 ,Europe,Family
The Scarlet Hotel,4.0 ,4 ,4 ,5 ,4 ,5 ,5 ,4 ,North America,Couple
Le Peranakan Hotel,2.0 ,1 ,3 ,3 ,3 ,2 ,3 ,3 ,North America,Couple
Quincy Hotel,4.0 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Family
